id	area	invariant	formalism	artifact	formal_symbol	proof_strength	implementation_owner	property_suite	property_name	implementation_state	model_evidence
E9-NF-COQ-001	canonical-wire	non finite numbers are rejected	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	non_finite_numbers_are_rejected	rocq-unbounded	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_non_finite_numbers_are_rejected	required-red-before-production	rocq-proof-term
E9-NF-COQ-002	canonical-wire	negative zero has the zero encoding	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	negative_zero_has_the_zero_encoding	rocq-unbounded	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_negative_zero_has_the_zero_encoding	required-red-before-production	rocq-proof-term
E9-NF-COQ-003	wire-identity	schema and content identity are distinct	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	schema_and_content_identity_are_distinct	rocq-unbounded	vinary-content-identity	proofs/required_red/content_identity/tests/content_identity.rs	prop_schema_and_content_identity_are_distinct	required-red-before-production	rocq-proof-term
E9-NF-COQ-004	canonical-wire	rejected chunk is atomic	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	rejected_chunk_is_atomic	rocq-unbounded	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_rejected_chunk_is_atomic	required-red-before-production	rocq-proof-term
E9-NF-COQ-005	canonical-wire	streaming and buffered emission agree	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	streaming_and_buffered_emission_agree	rocq-unbounded	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_streaming_and_buffered_emission_agree	required-red-before-production	rocq-proof-term
E9-NF-COQ-006	canonical-wire	wire machine native stack is constant	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	wire_machine_native_stack_is_constant	rocq-unbounded	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_wire_machine_native_stack_is_constant	required-red-before-production	rocq-proof-term
E9-NF-COQ-007	canonical-wire	malformed and budget outcomes are not success	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	malformed_and_budget_outcomes_are_not_success	rocq-unbounded	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_malformed_and_budget_outcomes_are_not_success	required-red-before-production	rocq-proof-term
E9-NF-COQ-008	analysis-graph	graph epistemic axes are orthogonal	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	graph_epistemic_axes_are_orthogonal	rocq-unbounded	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_graph_epistemic_axes_are_orthogonal	required-red-before-production	rocq-proof-term
E9-NF-COQ-009	analysis-graph	relation lowering preserves every role	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	relation_lowering_preserves_every_role	rocq-unbounded	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_relation_lowering_preserves_every_role	required-red-before-production	rocq-proof-term
E9-NF-COQ-010	analysis-graph	empty neutral dialect requires no application fields	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	empty_neutral_dialect_requires_no_application_fields	rocq-unbounded	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_empty_neutral_dialect_requires_no_application_fields	required-red-before-production	rocq-proof-term
E9-NF-COQ-011	analysis-graph	stale graph patch is atomic	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	stale_graph_patch_is_atomic	rocq-unbounded	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_stale_graph_patch_is_atomic	required-red-before-production	rocq-proof-term
E9-NF-COQ-012	analysis-graph	projection never strengthens	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	projection_never_strengthens	rocq-unbounded	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_projection_never_strengthens	required-red-before-production	rocq-proof-term
E9-NF-COQ-013	analysis-graph	jsonl limit exhaustion is not completion	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	jsonl_limit_exhaustion_is_not_completion	rocq-unbounded	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_jsonl_limit_exhaustion_is_not_completion	required-red-before-production	rocq-proof-term
E9-NF-COQ-014	runtime	incomplete result is not cacheable	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	incomplete_result_is_not_cacheable	rocq-unbounded	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_incomplete_result_is_not_cacheable	required-red-before-production	rocq-proof-term
E9-NF-COQ-015	runtime	exact release binds every input lock	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	exact_release_binds_every_input_lock	rocq-unbounded	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_exact_release_binds_every_input_lock	required-red-before-production	rocq-proof-term
E9-NF-COQ-016	runtime	stale checkpoint cannot resume	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	stale_checkpoint_cannot_resume	rocq-unbounded	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_stale_checkpoint_cannot_resume	required-red-before-production	rocq-proof-term
E9-NF-COQ-017	runtime	overflow output never uses tmpfs	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	overflow_output_never_uses_tmpfs	rocq-unbounded	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_overflow_output_never_uses_tmpfs	required-red-before-production	rocq-proof-term
E9-NF-COQ-018	runtime	process termination decreases pending work	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	process_termination_decreases_pending_work	rocq-unbounded	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_process_termination_decreases_pending_work	required-red-before-production	rocq-proof-term
E9-NF-COQ-019	runtime	process termination native stack is constant	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	process_termination_native_stack_is_constant	rocq-unbounded	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_process_termination_native_stack_is_constant	required-red-before-production	rocq-proof-term
E9-NF-COQ-020	requirements	revision preserves stable requirement identity	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	revision_preserves_stable_requirement_identity	rocq-unbounded	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_revision_preserves_stable_requirement_identity	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-021	requirements	revision strictly advances	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	revision_strictly_advances	rocq-unbounded	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_revision_strictly_advances	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-022	requirements	tombstone is not active	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	tombstone_is_not_active	rocq-unbounded	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_tombstone_is_not_active	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-023	requirements	source accounting is total	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	source_accounting_is_total	rocq-unbounded	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_source_accounting_is_total	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-024	requirements	unclassified source is preserved	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	unclassified_source_is_preserved	rocq-unbounded	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_unclassified_source_is_preserved	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-025	requirements	history validation uses constant native stack	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	history_validation_uses_constant_native_stack	rocq-unbounded	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_history_validation_uses_constant_native_stack	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-026	assurance	statistics do not discharge theorem obligations	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	statistics_do_not_discharge_theorem_obligations	rocq-unbounded	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_statistics_do_not_discharge_theorem_obligations	required-red-before-production	rocq-proof-term
E9-NF-COQ-027	assurance	bounded models do not discharge unbounded theorems	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	bounded_models_do_not_discharge_unbounded_theorems	rocq-unbounded	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_bounded_models_do_not_discharge_unbounded_theorems	required-red-before-production	rocq-proof-term
