# Exhaustive lling-llang stack-safety disposition ledger.
# Rows D001-D091 reproduce the exact direct-candidate order from pgmcp/libcpg run 44bdd341-48f4-46bf-8829-92988abf55b1.
# Rows S001-S005 cover every mutual SCC from that run. Rows L001-L041 cover the independent 213-file Rust recursive-owned-type audit.
# Every final_revision cell identifies the immutable production commit validated by this ledger.
id	kind	discovery_run	baseline_revision	baseline_file	baseline_line	symbol	scc	feature_profile	reachability	depth_driver	observable_order	sharing_cycle_policy	cancellation_cap	baseline_stack_risk	machine	shallow_oracle	formal_obligations	property_laws	deep_wide_lifecycle_test	complexity	allocation_plan	final_revision	disposition	source_evidence
D001	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	scripts/check-bindings.py	124	walk_export_targets	-	release-tooling-python	release-tooling	nested export-object depth	left-to-right mapping values	acyclic JSON-like manifest	no cap; complete traversal	baseline input-depth native recursion	ordered-LIFO-worklist	scripts/check-bindings.py::binding-manifest gate	OrderedForestMachine.v	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	deep acceptance: scripts/check-bindings.py::self_test_stack_safety (4,096 generated ordered cases + 100,000 levels/256 KiB)	O(n) work/O(h) heap	one pending Vec; reverse-extension preserves order	65d82ac550dfee5dceb627457895b035dde49683	flattened	scripts/check-bindings.py:130:walk_export_targets(nested)
D002	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	scripts/check-bindings.py	65	MissingFile.__init__	-	release-tooling-python	release-tooling	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	scripts/check-bindings.py:66:super().__init__(message)
D003	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/determinize.rs	173	crate::determinize	-	default+all-features	production-library	epsilon-presence flag	first pass then one epsilon-free pass	immutable WFST; graph sharing preserved	remove_epsilon_first flips false; no cancellation	bounded native depth <=2	fixed-two-pass-determinization	tests/algorithm_properties_test.rs::prop_determinize_is_deterministic	source rank remove_epsilon_first∈{true,false}; recursive edge strictly clears rank	rank strictly decreases true→false; at most one recursive edge	tests/algorithm_properties_test.rs::prop_determinize_is_deterministic	O(algorithm work); native call depth <=2	existing determinization allocations	65d82ac550dfee5dceb627457895b035dde49683	fixed-bound-with-proof	src/algorithms/determinize.rs:204:determinize(&epsilon_free, next_config)
D004	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	207	crate::FifoQueue::with_capacity	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:208:FifoQueue::with_capacity(capacity)
D005	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	215	crate::FifoQueue::pop	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:216:FifoQueue::pop(self)
D006	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	223	crate::FifoQueue::is_empty	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:224:FifoQueue::is_empty(self)
D007	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	227	crate::FifoQueue::len	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:228:FifoQueue::len(self)
D008	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	231	crate::FifoQueue::contains	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:232:FifoQueue::contains(self, state)
D009	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	235	crate::FifoQueue::clear	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:236:FifoQueue::clear(self)
D010	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	363	crate::TopologicalQueue::with_capacity	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:364:TopologicalQueue::with_capacity(capacity)
D011	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	371	crate::TopologicalQueue::pop	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:372:TopologicalQueue::pop(self)
D012	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	379	crate::TopologicalQueue::is_empty	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:380:TopologicalQueue::is_empty(self)
D013	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	383	crate::TopologicalQueue::len	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:384:TopologicalQueue::len(self)
