id	area	invariant	formalism	artifact	formal_symbol	declaration_kind	proof_strength	property_suite	property_name	implementation_state
E4-WPDS-R-001	mapping	index lookup returns the key at the reported dense position	rocq	proofs/coq/portability/WpdsPortability.v	index_of_sound	lemma	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-R-002	mapping	every key at a position in a unique tape is found at that dense position	rocq	proofs/coq/portability/WpdsPortability.v	index_of_complete	lemma	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-R-003	mapping	duplicate caller-owned external rule keys are rejected	rocq	proofs/coq/portability/WpdsPortability.v	duplicate_external_keys_are_rejected	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-R-004	mapping	an accepted dense rule map is contiguous and zero based	rocq	proofs/coq/portability/WpdsPortability.v	accepted_dense_map_is_contiguous	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-R-005	mapping	external to dense lookup is injective within one snapshot	rocq	proofs/coq/portability/WpdsPortability.v	external_to_dense_is_injective	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-R-006	mapping	every admitted dense identifier round trips to its external key	rocq	proofs/coq/portability/WpdsPortability.v	dense_to_external_round_trip	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-R-007	mapping	dense identifiers remain stable within one immutable rule snapshot	rocq	proofs/coq/portability/WpdsPortability.v	same_snapshot_key_tape_has_stable_dense_ids	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_same_snapshot_keeps_dense_ids_stable	required-red-before-production
E4-WPDS-R-008	identity	replay identity equality is exactly equality of all five identity fields	rocq	proofs/coq/portability/WpdsPortability.v	same_replay_identity_exact	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-R-009	identity	a stale rule snapshot rejects replay	rocq	proofs/coq/portability/WpdsPortability.v	stale_rule_snapshot_rejects_replay	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-R-010	identity	a context mismatch rejects replay	rocq	proofs/coq/portability/WpdsPortability.v	context_mismatch_rejects_replay	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-R-011	identity	a query mismatch rejects replay	rocq	proofs/coq/portability/WpdsPortability.v	query_mismatch_rejects_replay	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-R-012	identity	a semantic mismatch rejects replay	rocq	proofs/coq/portability/WpdsPortability.v	semantic_mismatch_rejects_replay	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-R-013	identity	a codec profile mismatch rejects replay	rocq	proofs/coq/portability/WpdsPortability.v	codec_profile_mismatch_rejects_replay	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-R-014	identity	every admitted replay has the complete expected identity	rocq	proofs/coq/portability/WpdsPortability.v	admitted_replay_has_exact_identity	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
