id	area	invariant	formalism	artifact	formal_symbol	declaration_kind	proof_strength	property_suite	property_name	implementation_state
E7-DF-001	dataflow-migration	join leq	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_leq	definition	formal-definition	tests/libcpg_dataflow_migration_properties.rs	prop_join_leq	required-red-before-production
E7-DF-002	dataflow-migration	join leq reflexive	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_leq_reflexive	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_leq_reflexive	required-red-before-production
E7-DF-003	dataflow-migration	join leq transitive	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_leq_transitive	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_leq_transitive	required-red-before-production
E7-DF-004	dataflow-migration	join leq antisymmetric	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_leq_antisymmetric	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_leq_antisymmetric	required-red-before-production
E7-DF-005	dataflow-migration	join is left upper bound	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_is_left_upper_bound	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_is_left_upper_bound	required-red-before-production
E7-DF-006	dataflow-migration	join is right upper bound	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_is_right_upper_bound	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_is_right_upper_bound	required-red-before-production
E7-DF-007	dataflow-migration	join is least upper bound	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_is_least_upper_bound	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_is_least_upper_bound	required-red-before-production
E7-DF-008	dataflow-migration	dataflow adapter preserves join	rocq	proofs/coq/domain_integration/DataflowMigration.v	dataflow_adapter_preserves_join	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_dataflow_adapter_preserves_join	required-red-before-production
E7-DF-009	dataflow-migration	dataflow adapter change flag is exact	rocq	proofs/coq/domain_integration/DataflowMigration.v	dataflow_adapter_change_flag_is_exact	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_dataflow_adapter_change_flag_is_exact	required-red-before-production
E7-DF-010	dataflow-migration	dataflow adapter preserves order	rocq	proofs/coq/domain_integration/DataflowMigration.v	dataflow_adapter_preserves_order	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_dataflow_adapter_preserves_order	required-red-before-production
E7-DF-011	dataflow-migration	ifds subsumes	rocq	proofs/coq/domain_integration/DataflowMigration.v	ifds_subsumes	definition	formal-definition	tests/libcpg_dataflow_migration_properties.rs	prop_ifds_subsumes	required-red-before-production
E7-DF-012	dataflow-migration	ifds subsumes reverses join order	rocq	proofs/coq/domain_integration/DataflowMigration.v	ifds_subsumes_reverses_join_order	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_ifds_subsumes_reverses_join_order	required-red-before-production
E7-DF-013	dataflow-migration	ifds subsumes is reflexive	rocq	proofs/coq/domain_integration/DataflowMigration.v	ifds_subsumes_is_reflexive	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_ifds_subsumes_is_reflexive	required-red-before-production
E7-DF-014	dataflow-migration	ifds subsumes is transitive	rocq	proofs/coq/domain_integration/DataflowMigration.v	ifds_subsumes_is_transitive	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_ifds_subsumes_is_transitive	required-red-before-production
E7-DF-015	dataflow-migration	bottom is least	rocq	proofs/coq/domain_integration/DataflowMigration.v	bottom_is_least	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_bottom_is_least	required-red-before-production
E7-DF-016	dataflow-migration	ifds default bottom bridge is sound	rocq	proofs/coq/domain_integration/DataflowMigration.v	ifds_default_bottom_bridge_is_sound	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_ifds_default_bottom_bridge_is_sound	required-red-before-production
E7-DF-017	dataflow-migration	join all permutation invariant	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_all_permutation_invariant	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_all_permutation_invariant	required-red-before-production
E7-DF-018	dataflow-migration	join all duplicate invariant	rocq	proofs/coq/domain_integration/DataflowMigration.v	join_all_duplicate_invariant	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_join_all_duplicate_invariant	required-red-before-production
E7-DF-019	dataflow-migration	stable	rocq	proofs/coq/domain_integration/DataflowMigration.v	stable	definition	formal-definition	tests/libcpg_dataflow_migration_properties.rs	prop_stable	required-red-before-production
E7-DF-020	dataflow-migration	run state	rocq	proofs/coq/domain_integration/DataflowMigration.v	run_state	definition	formal-definition	tests/libcpg_dataflow_migration_properties.rs	prop_run_state	required-red-before-production
E7-DF-021	dataflow-migration	iterate is ascending	rocq	proofs/coq/domain_integration/DataflowMigration.v	iterate_is_ascending	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_iterate_is_ascending	required-red-before-production
E7-DF-022	dataflow-migration	stable remains stable	rocq	proofs/coq/domain_integration/DataflowMigration.v	stable_remains_stable	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_stable_remains_stable	required-red-before-production
E7-DF-023	dataflow-migration	iterate from stable is constant	rocq	proofs/coq/domain_integration/DataflowMigration.v	iterate_from_stable_is_constant	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_iterate_from_stable_is_constant	required-red-before-production
E7-DF-024	dataflow-migration	iterate additive	rocq	proofs/coq/domain_integration/DataflowMigration.v	iterate_additive	lemma	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_iterate_additive	required-red-before-production
E7-DF-025	dataflow-migration	completes within	rocq	proofs/coq/domain_integration/DataflowMigration.v	completes_within	definition	formal-definition	tests/libcpg_dataflow_migration_properties.rs	prop_completes_within	required-red-before-production
E7-DF-026	dataflow-migration	completion is monotone in budget	rocq	proofs/coq/domain_integration/DataflowMigration.v	completion_is_monotone_in_budget	theorem	rocq-unbounded	tests/libcpg_dataflow_migration_properties.rs	prop_completion_is_monotone_in_budget	required-red-before-production
