id	area	invariant	formalism	artifact	formal_symbol	declaration_kind	proof_strength	property_suite	property_name	implementation_state
E9-PR-001	provider-result	result status	rocq	proofs/coq/domain_integration/ProviderResult.v	result_status	inductive	formal-type	tests/provider_result_properties.rs	prop_result_status	required-red-before-production
E9-PR-002	provider-result	incomplete reason	rocq	proofs/coq/domain_integration/ProviderResult.v	incomplete_reason	inductive	formal-type	tests/provider_result_properties.rs	prop_incomplete_reason	required-red-before-production
E9-PR-003	provider-result	approximation	rocq	proofs/coq/domain_integration/ProviderResult.v	approximation	record	formal-type	tests/provider_result_properties.rs	prop_approximation	required-red-before-production
E9-PR-004	provider-result	approximation valid	rocq	proofs/coq/domain_integration/ProviderResult.v	approximation_valid	definition	formal-definition	tests/provider_result_properties.rs	prop_approximation_valid	required-red-before-production
E9-PR-005	provider-result	provider result	rocq	proofs/coq/domain_integration/ProviderResult.v	provider_result	inductive	formal-type	tests/provider_result_properties.rs	prop_provider_result	required-red-before-production
E9-PR-006	provider-result	status of	rocq	proofs/coq/domain_integration/ProviderResult.v	status_of	definition	formal-definition	tests/provider_result_properties.rs	prop_status_of	required-red-before-production
E9-PR-007	provider-result	limitations of	rocq	proofs/coq/domain_integration/ProviderResult.v	limitations_of	definition	formal-definition	tests/provider_result_properties.rs	prop_limitations_of	required-red-before-production
E9-PR-008	provider-result	checkpoint of	rocq	proofs/coq/domain_integration/ProviderResult.v	checkpoint_of	definition	formal-definition	tests/provider_result_properties.rs	prop_checkpoint_of	required-red-before-production
E9-PR-009	provider-result	map result	rocq	proofs/coq/domain_integration/ProviderResult.v	map_result	definition	formal-definition	tests/provider_result_properties.rs	prop_map_result	required-red-before-production
E9-PR-010	provider-result	result valid	rocq	proofs/coq/domain_integration/ProviderResult.v	result_valid	definition	formal-definition	tests/provider_result_properties.rs	prop_result_valid	required-red-before-production
E9-PR-011	provider-result	status cacheable	rocq	proofs/coq/domain_integration/ProviderResult.v	status_cacheable	definition	formal-definition	tests/provider_result_properties.rs	prop_status_cacheable	required-red-before-production
E9-PR-012	provider-result	valid approximation has limitation	rocq	proofs/coq/domain_integration/ProviderResult.v	valid_approximation_has_limitation	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_valid_approximation_has_limitation	required-red-before-production
E9-PR-013	provider-result	map preserves status	rocq	proofs/coq/domain_integration/ProviderResult.v	map_preserves_status	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_preserves_status	required-red-before-production
E9-PR-014	provider-result	map preserves limitations	rocq	proofs/coq/domain_integration/ProviderResult.v	map_preserves_limitations	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_preserves_limitations	required-red-before-production
E9-PR-015	provider-result	map preserves checkpoint	rocq	proofs/coq/domain_integration/ProviderResult.v	map_preserves_checkpoint	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_preserves_checkpoint	required-red-before-production
E9-PR-016	provider-result	map preserves validity	rocq	proofs/coq/domain_integration/ProviderResult.v	map_preserves_validity	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_preserves_validity	required-red-before-production
E9-PR-017	provider-result	map preserves cache eligibility	rocq	proofs/coq/domain_integration/ProviderResult.v	map_preserves_cache_eligibility	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_preserves_cache_eligibility	required-red-before-production
E9-PR-018	provider-result	map identity	rocq	proofs/coq/domain_integration/ProviderResult.v	map_identity	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_identity	required-red-before-production
E9-PR-019	provider-result	map composition	rocq	proofs/coq/domain_integration/ProviderResult.v	map_composition	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_map_composition	required-red-before-production
E9-PR-020	provider-result	compose status	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_status	definition	formal-definition	tests/provider_result_properties.rs	prop_compose_status	required-red-before-production
E9-PR-021	provider-result	compose status left identity	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_status_left_identity	lemma	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_status_left_identity	required-red-before-production
E9-PR-022	provider-result	compose status right identity	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_status_right_identity	lemma	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_status_right_identity	required-red-before-production
E9-PR-023	provider-result	compose status associative	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_status_associative	lemma	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_status_associative	required-red-before-production
E9-PR-024	provider-result	composed exact has only exact inputs	rocq	proofs/coq/domain_integration/ProviderResult.v	composed_exact_has_only_exact_inputs	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_composed_exact_has_only_exact_inputs	required-red-before-production
E9-PR-025	provider-result	composed incomplete is absorbing left	rocq	proofs/coq/domain_integration/ProviderResult.v	composed_incomplete_is_absorbing_left	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_composed_incomplete_is_absorbing_left	required-red-before-production
E9-PR-026	provider-result	composed incomplete is absorbing right	rocq	proofs/coq/domain_integration/ProviderResult.v	composed_incomplete_is_absorbing_right	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_composed_incomplete_is_absorbing_right	required-red-before-production
E9-PR-027	provider-result	incomplete is not cacheable	rocq	proofs/coq/domain_integration/ProviderResult.v	incomplete_is_not_cacheable	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_incomplete_is_not_cacheable	required-red-before-production
E9-PR-028	provider-result	result metadata	rocq	proofs/coq/domain_integration/ProviderResult.v	result_metadata	record	formal-type	tests/provider_result_properties.rs	prop_result_metadata	required-red-before-production
E9-PR-029	provider-result	compose metadata	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_metadata	definition	formal-definition	tests/provider_result_properties.rs	prop_compose_metadata	required-red-before-production
E9-PR-030	provider-result	compose metadata left identity	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_metadata_left_identity	lemma	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_metadata_left_identity	required-red-before-production
E9-PR-031	provider-result	compose metadata right identity	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_metadata_right_identity	lemma	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_metadata_right_identity	required-red-before-production
E9-PR-032	provider-result	compose metadata associative	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_metadata_associative	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_metadata_associative	required-red-before-production
E9-PR-033	provider-result	composed metadata exact has only exact inputs	rocq	proofs/coq/domain_integration/ProviderResult.v	composed_metadata_exact_has_only_exact_inputs	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_composed_metadata_exact_has_only_exact_inputs	required-red-before-production
E9-PR-034	provider-result	compose metadata retains limitations	rocq	proofs/coq/domain_integration/ProviderResult.v	compose_metadata_retains_limitations	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_compose_metadata_retains_limitations	required-red-before-production
E9-PR-035	provider-result	result control phase	rocq	proofs/coq/domain_integration/ProviderResult.v	result_control_phase	inductive	formal-type	tests/provider_result_properties.rs	prop_result_control_phase	required-red-before-production
E9-PR-036	provider-result	result control is finite	rocq	proofs/coq/domain_integration/ProviderResult.v	result_control_is_finite	theorem	rocq-unbounded	tests/provider_result_properties.rs	prop_result_control_is_finite	required-red-before-production
E9-CA-001	canonical-artifact	manifest bit	rocq	proofs/coq/domain_integration/CanonicalArtifact.v	manifest_bit	definition	formal-definition	tests/canonical_artifact_properties.rs	prop_manifest_bit	required-red-before-production
E9-CA-002	canonical-artifact	canonical manifest	rocq	proofs/coq/domain_integration/CanonicalArtifact.v	canonical_manifest	definition	formal-definition	tests/canonical_artifact_properties.rs	prop_canonical_manifest	required-red-before-production
E9-CA-003	canonical-artifact	manifest bit true iff	rocq	proofs/coq/domain_integration/CanonicalArtifact.v	manifest_bit_true_iff	lemma	rocq-unbounded	tests/canonical_artifact_properties.rs	prop_manifest_bit_true_iff	required-red-before-production
