id	area	invariant	formalism	artifact	formal_symbol	proof_strength	property_suite	property_name	implementation_state	model_evidence
E4-BIS-ROCQ-001	unbounded-semantics	identity is strong bisimulation	rocq	proofs/coq/algorithms/StrongBisimulation.v	identity_is_strong_bisimulation	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-002	unbounded-semantics	bisimilar reflexive	rocq	proofs/coq/algorithms/StrongBisimulation.v	bisimilar_reflexive	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-003	unbounded-semantics	converse is strong bisimulation	rocq	proofs/coq/algorithms/StrongBisimulation.v	converse_is_strong_bisimulation	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-004	unbounded-semantics	bisimilar symmetric	rocq	proofs/coq/algorithms/StrongBisimulation.v	bisimilar_symmetric	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-005	unbounded-semantics	composition is strong bisimulation	rocq	proofs/coq/algorithms/StrongBisimulation.v	composition_is_strong_bisimulation	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-006	unbounded-semantics	bisimilar transitive	rocq	proofs/coq/algorithms/StrongBisimulation.v	bisimilar_transitive	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-007	unbounded-semantics	color block is saturated	rocq	proofs/coq/algorithms/StrongBisimulation.v	color_block_is_saturated	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-008	unbounded-semantics	preimage preserves saturation	rocq	proofs/coq/algorithms/StrongBisimulation.v	preimage_preserves_saturation	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_non_equivalent_pair_has_sound_distinguishing_witness	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-009	unbounded-semantics	same color equivalence	rocq	proofs/coq/algorithms/StrongBisimulation.v	same_color_equivalence	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-010	unbounded-semantics	bisimilar states have same color	rocq	proofs/coq/algorithms/StrongBisimulation.v	bisimilar_states_have_same_color	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-011	unbounded-semantics	same color contains bisimilarity	rocq	proofs/coq/algorithms/StrongBisimulation.v	same_color_contains_bisimilarity	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-012	unbounded-semantics	split relation equivalence	rocq	proofs/coq/algorithms/StrongBisimulation.v	split_relation_equivalence	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-013	unbounded-semantics	relation block is saturated	rocq	proofs/coq/algorithms/StrongBisimulation.v	relation_block_is_saturated	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-014	unbounded-semantics	safe split contains bisimilarity	rocq	proofs/coq/algorithms/StrongBisimulation.v	safe_split_contains_bisimilarity	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_exhaustive_small_system_matches_independent_fixed_point	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-015	unbounded-semantics	replayed refinement equivalence	rocq	proofs/coq/algorithms/StrongBisimulation.v	replayed_refinement_equivalence	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_certificate_replay_reconstructs_exact_partition	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-016	unbounded-semantics	replayed refinement contains bisimilarity	rocq	proofs/coq/algorithms/StrongBisimulation.v	replayed_refinement_contains_bisimilarity	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_certificate_replay_reconstructs_exact_partition	required-red-before-production	kernel-checked-proof-term
E4-BIS-ROCQ-017	unbounded-semantics	accepted relation certificate sound	rocq	proofs/coq/algorithms/StrongBisimulation.v	accepted_relation_certificate_sound	rocq-universal	proofs/required_red/strong_bisimulation/tests/contracts.rs	prop_certificate_replay_reconstructs_exact_partition	required-red-before-production	kernel-checked-proof-term
