id	area	invariant	formalism	artifact	formal_symbol	proof_strength	implementation_owner	property_suite	property_name	implementation_state	model_evidence
E7-MF-COQ-001	manifest-facts	extraction dimensions are libcpg owned	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	extraction_dimensions_are_libcpg_owned	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_extraction_dimensions_are_libcpg_owned	required-red-before-production	rocq-proof-term
E7-MF-COQ-002	manifest-facts	runtime dimensions are runtime owned	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	runtime_dimensions_are_runtime_owned	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_runtime_dimensions_are_runtime_owned	required-red-before-production	rocq-proof-term
E7-MF-COQ-003	adapter-boundary	lowering is adapter owned	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	lowering_is_adapter_owned	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_lowering_is_adapter_owned	required-red-before-production	rocq-proof-term
E7-MF-COQ-004	adapter-boundary	generic rule identity is lling llang owned	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	generic_rule_identity_is_lling_llang_owned	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_generic_rule_identity_is_lling_llang_owned	required-red-before-production	rocq-proof-term
E7-MF-COQ-005	manifest-facts	manifest compatibility reflexive	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	manifest_compatibility_reflexive	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_manifest_compatibility_reflexive	required-red-before-production	rocq-proof-term
E7-MF-COQ-006	manifest-facts	manifest compatibility symmetric	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	manifest_compatibility_symmetric	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_manifest_compatibility_symmetric	required-red-before-production	rocq-proof-term
E7-MF-COQ-007	manifest-facts	manifest compatibility transitive	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	manifest_compatibility_transitive	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_manifest_compatibility_transitive	required-red-before-production	rocq-proof-term
E7-MF-COQ-008	manifest-facts	repository mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	repository_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_repository_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-009	manifest-facts	parser mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	parser_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_parser_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-010	manifest-facts	grammar mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	grammar_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_grammar_mismatch_invalidates	required-red-before-production	rocq-proof-term
