id	area	invariant	formalism	artifact	formal_symbol	declaration_kind	proof_strength	property_suite	property_name	implementation_state
E4-LAZY-R-001	status	expansion status	rocq	proofs/coq/wfst/LazyExpansion.v	expansion_status	inductive	formal-type	tests/lazy_expansion_contract_properties.rs	prop_expansion_status	required-red-before-production
E4-LAZY-R-002	observation	expansion observation	rocq	proofs/coq/wfst/LazyExpansion.v	expansion_observation	inductive	formal-type	tests/lazy_expansion_contract_properties.rs	prop_expansion_observation	required-red-before-production
E4-LAZY-R-003	completion	completion kind	rocq	proofs/coq/wfst/LazyExpansion.v	completion_kind	inductive	formal-type	tests/lazy_expansion_contract_properties.rs	prop_completion_kind	required-red-before-production
E4-LAZY-R-004	begin	begin mode	rocq	proofs/coq/wfst/LazyExpansion.v	begin_mode	inductive	formal-type	tests/lazy_expansion_contract_properties.rs	prop_begin_mode	required-red-before-production
E4-LAZY-R-005	status	status terminal	rocq	proofs/coq/wfst/LazyExpansion.v	status_terminal	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_status_terminal	required-red-before-production
E4-LAZY-R-006	cache	status cacheable	rocq	proofs/coq/wfst/LazyExpansion.v	status_cacheable	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_status_cacheable	required-red-before-production
E4-LAZY-R-007	observation	observe status	rocq	proofs/coq/wfst/LazyExpansion.v	observe_status	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_observe_status	required-red-before-production
E4-LAZY-R-008	observation	unexpanded not observed empty	rocq	proofs/coq/wfst/LazyExpansion.v	unexpanded_is_not_observed_as_empty	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_unexpanded_is_not_observed_as_empty	required-red-before-production
E4-LAZY-R-009	observation	expanding not observed empty	rocq	proofs/coq/wfst/LazyExpansion.v	expanding_is_not_observed_as_empty	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_expanding_is_not_observed_as_empty	required-red-before-production
E4-LAZY-R-010	observation	empty observation exact	rocq	proofs/coq/wfst/LazyExpansion.v	empty_observation_requires_expanded_empty	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_empty_observation_requires_expanded_empty	required-red-before-production
E4-LAZY-R-011	observation	nonempty observation exact	rocq	proofs/coq/wfst/LazyExpansion.v	nonempty_observation_requires_expanded_nonempty	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_nonempty_observation_requires_expanded_nonempty	required-red-before-production
E4-LAZY-R-012	observation	failure observation exact	rocq	proofs/coq/wfst/LazyExpansion.v	failure_observation_requires_failed	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_failure_observation_requires_failed	required-red-before-production
E4-LAZY-R-013	observation	cancellation observation exact	rocq	proofs/coq/wfst/LazyExpansion.v	cancellation_observation_requires_cancelled	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_cancellation_observation_requires_cancelled	required-red-before-production
E4-LAZY-R-014	snapshot	stale status unobservable	rocq	proofs/coq/wfst/LazyExpansion.v	stale_status_is_unobservable	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_stale_status_is_unobservable	required-red-before-production
E4-LAZY-R-015	cache	only expanded cacheable	rocq	proofs/coq/wfst/LazyExpansion.v	only_expanded_states_are_cacheable	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_only_expanded_states_are_cacheable	required-red-before-production
E4-LAZY-R-016	begin	begin authorization	rocq	proofs/coq/wfst/LazyExpansion.v	begin_authorized	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_begin_authorized	required-red-before-production
E4-LAZY-R-017	begin	can begin	rocq	proofs/coq/wfst/LazyExpansion.v	can_begin	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_can_begin	required-red-before-production
E4-LAZY-R-018	begin	normal begin requires unexpanded	rocq	proofs/coq/wfst/LazyExpansion.v	normal_begin_requires_unexpanded	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_normal_begin_requires_unexpanded	required-red-before-production
E4-LAZY-R-019	retry	retry requires retryable failure	rocq	proofs/coq/wfst/LazyExpansion.v	retry_begin_requires_retryable_failure	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_retry_begin_requires_retryable_failure	required-red-before-production
E4-LAZY-R-020	retry	normal begin cannot retry	rocq	proofs/coq/wfst/LazyExpansion.v	normal_begin_cannot_retry_failure	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_normal_begin_cannot_retry_failure	required-red-before-production
E4-LAZY-R-021	retry	nonretryable failure terminal	rocq	proofs/coq/wfst/LazyExpansion.v	nonretryable_failure_is_terminal	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_nonretryable_failure_is_terminal	required-red-before-production
E4-LAZY-R-022	cancellation	cancellation blocks begin	rocq	proofs/coq/wfst/LazyExpansion.v	cancellation_blocks_begin	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_cancellation_blocks_begin	required-red-before-production
E4-LAZY-R-023	ownership	expanding blocks second begin	rocq	proofs/coq/wfst/LazyExpansion.v	expanding_blocks_second_begin	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_expanding_blocks_second_begin	required-red-before-production
E4-LAZY-R-024	cancellation	cancelled requires reset	rocq	proofs/coq/wfst/LazyExpansion.v	cancelled_requires_explicit_reset	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_cancelled_requires_explicit_reset	required-red-before-production
E4-LAZY-R-025	state	expansion state	rocq	proofs/coq/wfst/LazyExpansion.v	expansion_state	record	formal-type	tests/lazy_expansion_contract_properties.rs	prop_expansion_state	required-red-before-production
E4-LAZY-R-026	snapshot	snapshot fresh	rocq	proofs/coq/wfst/LazyExpansion.v	snapshot_fresh	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_snapshot_fresh	required-red-before-production
E4-LAZY-R-027	ownership	owner consistency	rocq	proofs/coq/wfst/LazyExpansion.v	owner_consistent	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_owner_consistent	required-red-before-production
E4-LAZY-R-028	retry	retry consistency	rocq	proofs/coq/wfst/LazyExpansion.v	retry_consistent	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_retry_consistent	required-red-before-production
E4-LAZY-R-029	snapshot	terminal freshness	rocq	proofs/coq/wfst/LazyExpansion.v	terminal_fresh	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_terminal_fresh	required-red-before-production
E4-LAZY-R-030	state	state well formed	rocq	proofs/coq/wfst/LazyExpansion.v	state_well_formed	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_state_well_formed	required-red-before-production
E4-LAZY-R-031	begin	begin attempt	rocq	proofs/coq/wfst/LazyExpansion.v	begin_attempt	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_begin_attempt	required-red-before-production
E4-LAZY-R-032	cancellation	cancel before begin	rocq	proofs/coq/wfst/LazyExpansion.v	cancel_before_begin	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_cancel_before_begin	required-red-before-production
E4-LAZY-R-033	completion	finish status	rocq	proofs/coq/wfst/LazyExpansion.v	finish_status	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_finish_status	required-red-before-production
E4-LAZY-R-034	completion	complete attempt	rocq	proofs/coq/wfst/LazyExpansion.v	complete_attempt	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_complete_attempt	required-red-before-production
E4-LAZY-R-035	failure	fail attempt	rocq	proofs/coq/wfst/LazyExpansion.v	fail_attempt	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_fail_attempt	required-red-before-production
E4-LAZY-R-036	cancellation	cancel attempt	rocq	proofs/coq/wfst/LazyExpansion.v	cancel_attempt	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_cancel_attempt	required-red-before-production
E4-LAZY-R-037	reset	reset cancelled	rocq	proofs/coq/wfst/LazyExpansion.v	reset_cancelled	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_reset_cancelled	required-red-before-production
E4-LAZY-R-038	reset	reset failed	rocq	proofs/coq/wfst/LazyExpansion.v	reset_failed	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_reset_failed	required-red-before-production
E4-LAZY-R-039	snapshot	rebind snapshot	rocq	proofs/coq/wfst/LazyExpansion.v	rebind_snapshot	definition	formal-definition	tests/lazy_expansion_contract_properties.rs	prop_rebind_snapshot	required-red-before-production
E4-LAZY-R-040	ownership	begin has single owner	rocq	proofs/coq/wfst/LazyExpansion.v	begin_attempt_has_single_owner	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_begin_attempt_has_single_owner	required-red-before-production
E4-LAZY-R-041	accounting	begin increments count	rocq	proofs/coq/wfst/LazyExpansion.v	begin_attempt_increments_count	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_begin_attempt_increments_count	required-red-before-production
E4-LAZY-R-042	snapshot	begin captures snapshot	rocq	proofs/coq/wfst/LazyExpansion.v	begin_attempt_captures_current_snapshot	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_begin_attempt_captures_current_snapshot	required-red-before-production
E4-LAZY-R-043	state	begin well formed	rocq	proofs/coq/wfst/LazyExpansion.v	begin_attempt_is_well_formed	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_begin_attempt_is_well_formed	required-red-before-production
E4-LAZY-R-044	cancellation	precancel ownerless no attempt	rocq	proofs/coq/wfst/LazyExpansion.v	pre_cancel_is_ownerless_and_does_not_attempt	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_pre_cancel_is_ownerless_and_does_not_attempt	required-red-before-production
E4-LAZY-R-045	ownership	wrong owner cannot complete	rocq	proofs/coq/wfst/LazyExpansion.v	wrong_owner_cannot_complete	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_wrong_owner_cannot_complete	required-red-before-production
E4-LAZY-R-046	snapshot	stale attempt cannot complete	rocq	proofs/coq/wfst/LazyExpansion.v	stale_attempt_cannot_complete	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_stale_attempt_cannot_complete	required-red-before-production
E4-LAZY-R-047	completion	completion fresh ownerless	rocq	proofs/coq/wfst/LazyExpansion.v	completion_is_fresh_and_ownerless	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_completion_is_fresh_and_ownerless	required-red-before-production
E4-LAZY-R-048	completion	empty classification exact	rocq	proofs/coq/wfst/LazyExpansion.v	completion_classifies_empty_exactly	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_completion_classifies_empty_exactly	required-red-before-production
E4-LAZY-R-049	completion	nonempty classification exact	rocq	proofs/coq/wfst/LazyExpansion.v	completion_classifies_nonempty_exactly	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_completion_classifies_nonempty_exactly	required-red-before-production
E4-LAZY-R-050	failure	failure ownerless	rocq	proofs/coq/wfst/LazyExpansion.v	failed_attempt_is_ownerless	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_failed_attempt_is_ownerless	required-red-before-production
E4-LAZY-R-051	retry	nonretryable failure cannot begin	rocq	proofs/coq/wfst/LazyExpansion.v	nonretryable_failure_cannot_begin	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_nonretryable_failure_cannot_begin	required-red-before-production
E4-LAZY-R-052	cancellation	cancelled attempt ownerless	rocq	proofs/coq/wfst/LazyExpansion.v	cancelled_attempt_is_ownerless	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_cancelled_attempt_is_ownerless	required-red-before-production
E4-LAZY-R-053	reset	cancelled reset unexpanded	rocq	proofs/coq/wfst/LazyExpansion.v	reset_cancelled_is_explicitly_unexpanded	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_reset_cancelled_is_explicitly_unexpanded	required-red-before-production
E4-LAZY-R-054	reset	failed reset unexpanded	rocq	proofs/coq/wfst/LazyExpansion.v	reset_failed_is_explicitly_unexpanded	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_reset_failed_is_explicitly_unexpanded	required-red-before-production
E4-LAZY-R-055	snapshot	rebind invalidates lifecycle	rocq	proofs/coq/wfst/LazyExpansion.v	rebind_invalidates_prior_lifecycle	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_rebind_invalidates_prior_lifecycle	required-red-before-production
E4-LAZY-R-056	control	control phase	rocq	proofs/coq/wfst/LazyExpansion.v	lazy_expansion_control_phase	inductive	formal-type	tests/lazy_expansion_contract_properties.rs	prop_lazy_expansion_control_phase	required-red-before-production
E4-LAZY-R-057	control	control finite	rocq	proofs/coq/wfst/LazyExpansion.v	lazy_expansion_control_is_finite	theorem	rocq-unbounded	tests/lazy_expansion_contract_properties.rs	prop_lazy_expansion_control_is_finite	required-red-before-production
E4-LAZY-T-001	lifecycle	type ok	tla+	proofs/tla/LazyExpansionLifecycle.tla	TypeOK	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_type_ok	required-red-before-production
E4-LAZY-T-002	ownership	at most one owner	tla+	proofs/tla/LazyExpansionLifecycle.tla	AtMostOneExpansionOwner	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_at_most_one_expansion_owner	required-red-before-production
E4-LAZY-T-003	ownership	owner iff expanding	tla+	proofs/tla/LazyExpansionLifecycle.tla	OwnerExactlyWhileExpanding	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_owner_exactly_while_expanding	required-red-before-production
E4-LAZY-T-004	snapshot	expanding captured snapshot	tla+	proofs/tla/LazyExpansionLifecycle.tla	ExpandingUsesCapturedSnapshot	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_expanding_uses_captured_snapshot	required-red-before-production
E4-LAZY-T-005	snapshot	observation current snapshot	tla+	proofs/tla/LazyExpansionLifecycle.tla	ObservableStateUsesCurrentSnapshot	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_observable_state_uses_current_snapshot	required-red-before-production
E4-LAZY-T-006	observation	unexpanded never empty	tla+	proofs/tla/LazyExpansionLifecycle.tla	UnexpandedNeverAppearsEmpty	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_unexpanded_never_appears_empty	required-red-before-production
E4-LAZY-T-007	observation	expanding unobservable	tla+	proofs/tla/LazyExpansionLifecycle.tla	ExpandingIsUnobservable	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_expanding_is_unobservable	required-red-before-production
E4-LAZY-T-008	observation	empty observation exact	tla+	proofs/tla/LazyExpansionLifecycle.tla	EmptyObservationIsExact	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_empty_observation_is_exact	required-red-before-production
E4-LAZY-T-009	observation	nonempty observation exact	tla+	proofs/tla/LazyExpansionLifecycle.tla	NonemptyObservationIsExact	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_nonempty_observation_is_exact	required-red-before-production
E4-LAZY-T-010	observation	failure observation exact	tla+	proofs/tla/LazyExpansionLifecycle.tla	FailureObservationHasExactStatus	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_failure_observation_has_exact_status	required-red-before-production
E4-LAZY-T-011	observation	cancellation observation exact	tla+	proofs/tla/LazyExpansionLifecycle.tla	CancellationObservationHasExactStatus	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_cancellation_observation_has_exact_status	required-red-before-production
E4-LAZY-T-012	retry	retry flag only failure	tla+	proofs/tla/LazyExpansionLifecycle.tla	RetryFlagOnlyOnFailure	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_retry_flag_only_on_failure	required-red-before-production
E4-LAZY-T-013	retry	nonretryable terminal	tla+	proofs/tla/LazyExpansionLifecycle.tla	NonRetryableFailureIsTerminal	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_nonretryable_failure_is_terminal	required-red-before-production
E4-LAZY-T-014	cache	expanded exactly cacheable	tla+	proofs/tla/LazyExpansionLifecycle.tla	ExpandedExactlyCacheable	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_expanded_exactly_cacheable	required-red-before-production
E4-LAZY-T-015	cache	incomplete not cacheable	tla+	proofs/tla/LazyExpansionLifecycle.tla	IncompleteStatesAreNotCacheable	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_incomplete_states_are_not_cacheable	required-red-before-production
E4-LAZY-T-016	accounting	attempt bounded	tla+	proofs/tla/LazyExpansionLifecycle.tla	AttemptCountIsBounded	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_attempt_count_is_bounded	required-red-before-production
E4-LAZY-T-017	cancellation	cancelled ownerless	tla+	proofs/tla/LazyExpansionLifecycle.tla	CancelledHasNoOwner	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_cancelled_has_no_owner	required-red-before-production
E4-LAZY-T-018	failure	failed ownerless	tla+	proofs/tla/LazyExpansionLifecycle.tla	FailedHasNoOwner	invariant	tlc-finite-exhaustive	tests/lazy_expansion_lifecycle_properties.rs	prop_failed_has_no_owner	required-red-before-production
E4-LAZY-S-001	finite-boundary	unexpanded not empty	smt	proofs/smt/vco-e4-lazy-expansion.smt2	E4-LAZY-SMT-UNEXPANDED-NOT-EMPTY	query	z3-finite-boundary	tests/lazy_expansion_smt_properties.rs	prop_smt_unexpanded_not_empty	required-red-before-production
E4-LAZY-S-002	finite-boundary	expanding not empty	smt	proofs/smt/vco-e4-lazy-expansion.smt2	E4-LAZY-SMT-EXPANDING-NOT-EMPTY	query	z3-finite-boundary	tests/lazy_expansion_smt_properties.rs	prop_smt_expanding_not_empty	required-red-before-production
E4-LAZY-S-003	finite-boundary	empty observation exact	smt	proofs/smt/vco-e4-lazy-expansion.smt2	E4-LAZY-SMT-EMPTY-OBSERVATION-EXACT	query	z3-finite-boundary	tests/lazy_expansion_smt_properties.rs	prop_smt_empty_observation_exact	required-red-before-production
