crate	source	trait	disposition	state	customer_form	evidence	rationale
llattice	src/lib.rs	Lattice	provider-capability	implemented	Versioned immutable lattice-value capability with join, meet, equality, stable encoding, diagnostics, and bounded folds.	src/dynamic_lattice.rs#pub struct LatticeValue	The dynamic lattice ABI preserves the complete operation set while native Rust implementations retain monomorphized dispatch.
lling-llang	src/acoustic/mod.rs	AcousticModel	provider-capability	missing	Bounded score-batch provider over immutable model snapshots.	src/acoustic/mod.rs#pub trait AcousticModel	Acoustic scoring is a sensible customer extension point, but no typed provider interface currently carries feature and score batches.
lling-llang	src/algorithms/queue.rs	ShortestDistanceQueue	rust-type-system	implemented	Select built-in queue disciplines through algorithm configuration rather than per-pop foreign callbacks.	src/algorithms/queue.rs#pub trait ShortestDistanceQueue	This mutable algorithm-local scheduling policy carries Rust weight types and would make every queue operation cross the language boundary.
lling-llang	src/backend/pathmap.rs	PathMapSharingBackend	rust-type-system	implemented	Choose the PathMap backend through construction options; exchange finished resources through stable interfaces.	src/backend/pathmap.rs#pub trait PathMapSharingBackend	The trait describes Rust storage internals and reference-sharing primitives rather than customer-defined automaton semantics.
lling-llang	src/backend/traits.rs	LatticeBackend	rust-type-system	implemented	Choose a built-in backend and expose its immutable result as a retained resource.	src/backend/traits.rs#pub trait LatticeBackend	Associated iterators and concrete Rust storage types make this an implementation seam rather than a sound callback boundary.
lling-llang	src/backend/traits.rs	SharingBackend	rust-type-system	implemented	Choose a built-in structural-sharing backend through construction policy.	src/backend/traits.rs#pub trait SharingBackend	The trait controls Rust ownership and persistence internals, so foreign callbacks would expose allocator and aliasing details.
lling-llang	src/bindings.rs	ScalarWfstProvider	provider-resource	implemented	Immutable or snapshotting scalar-WFST resource with paged arcs and optional parallel reentrancy.	src/bindings.rs#pub struct OwnedWfstResource	The retained resource ABI directly accepts customer-defined scalar WFST providers without copying the complete graph.
lling-llang	src/differentiable/layers.rs	WfstConvLabel	rust-type-system	implemented	Materialize labels as ABI scalar identifiers before invoking differentiable kernels.	src/differentiable/layers.rs#pub trait WfstConvLabel	This conversion trait is a compile-time mapping for tight tensor loops; callbacks would erase type safety and dominate computation.
lling-llang	src/dynamic_lattice.rs	LatticeAccess	internal-sealing	implemented	No customer surface; safe wrappers select local or parallel access after capability negotiation.	src/dynamic_lattice.rs#pub trait LatticeAccess	The public bound is sealed inside a private module so callers cannot forge cross-thread access to thread-bound providers.
lling-llang	src/dynamic_lattice.rs	Sealed	internal-sealing	implemented	No customer surface; this private-module trait closes the LatticeAccess implementation set.	src/dynamic_lattice.rs#pub trait Sealed	Although source-level public, the trait is unreachable through its private module and exists solely as a safety proof boundary.
lling-llang	src/dynamic_semiring.rs	SemiringAccess	internal-sealing	implemented	No customer surface; safe wrappers select local or parallel access after capability negotiation.	src/dynamic_semiring.rs#pub trait SemiringAccess	The public bound is sealed inside a private module so callers cannot forge cross-thread access to thread-bound providers.
lling-llang	src/dynamic_semiring.rs	Sealed	internal-sealing	implemented	No customer surface; this private-module trait closes the SemiringAccess implementation set.	src/dynamic_semiring.rs#pub trait Sealed	Although source-level public, the trait is unreachable through its private module and exists solely as a safety proof boundary.
lling-llang	src/lattice/iterator.rs	LatticePathExt	consumer-operation	implemented	Derived path iterator methods operate on an admitted backend; they are not independently implemented by providers.	src/lattice/iterator.rs#pub trait LatticePathExt	The blanket extension owns no semantics beyond traversal and should remain one consumer algorithm over validated resources.
lling-llang	src/lattice_bridge.rs	SemiringLattice	law-declaration	implemented	Declare the idempotent-plus law and adapt one semiring domain to lattice operations only when meet semantics are explicit.	src/lattice_bridge.rs#pub trait SemiringLattice	This marker is represented by negotiated semiring properties and the separately versioned lattice capability rather than callbacks.
lling-llang	src/layers/filtering/edit_distance.rs	Dictionary	provider-resource	missing	Snapshot-consistent dictionary graph resource with indexed transitions and bounded edge pages.	src/layers/filtering/edit_distance.rs#pub trait Dictionary	The shared dictionary ABI has the needed graph shape, but this layer still lacks a zero-copy adapter from retained resources.
lling-llang	src/layers/latex/repair.rs	RepairStrategy	provider-capability	missing	Bounded repair-candidate callback over immutable syntax and diagnostic records.	src/layers/latex/repair.rs#pub trait RepairStrategy	User-defined repair policy is semantically meaningful, but no stable owned-value provider protocol currently represents it.
lling-llang	src/layers/rescoring/lm_rerank.rs	LanguageModel	provider-capability	missing	Bounded sequence-score provider over immutable model snapshots.	src/layers/rescoring/lm_rerank.rs#pub trait LanguageModel	Language-model rescoring is a natural integration seam, but its sequence and result batches are not yet in the ABI.
lling-llang	src/layers/rescoring/phonetic_rescore.rs	PhoneticReference	provider-capability	missing	Bounded phonetic-distance provider using owned scalar sequences.	src/layers/rescoring/phonetic_rescore.rs#pub trait PhoneticReference	Customer phonetic systems should be usable without Rust reimplementation, but no callback protocol currently carries their batches.
lling-llang	src/layers/syntactic/mettail_type.rs	TypeChecker	provider-capability	missing	Snapshotting type-check provider returning owned diagnostics and stable type identifiers.	src/layers/syntactic/mettail_type.rs#pub trait TypeChecker	A foreign type system is a sensible extension point, but borrowed Rust syntax nodes cannot cross the boundary directly.
lling-llang	src/layers/syntactic/pos_tagging.rs	PosModel	provider-capability	missing	Bounded part-of-speech score provider over owned token identifiers.	src/layers/syntactic/pos_tagging.rs#pub trait PosModel	Customer tagging models are useful integrations, but the current bindings do not define their typed batch contract.
lling-llang	src/layers/traits.rs	CorrectionLayer	provider-capability	missing	Snapshotting correction-layer provider consuming and producing retained lattice resources.	src/layers/traits.rs#pub trait CorrectionLayer	Custom correction stages are a core composition seam, but no resource-level callback protocol currently exposes them.
lling-llang	src/llm/mod.rs	ConstrainedDecoder	provider-capability	missing	Cancellation-aware bounded decoding provider over retained constraint and model resources.	src/llm/mod.rs#pub trait ConstrainedDecoder	Customer decoders are sensible, but the current generic iterator contract lacks an owned, bounded, cancellable ABI representation.
lling-llang	src/multilingual/language.rs	LanguageModel	provider-capability	missing	Bounded next-token distribution provider with explicit language and vocabulary domains.	src/multilingual/language.rs#pub trait LanguageModel	Multilingual models are customer integrations, but the generic map-returning Rust interface has no stable provider protocol yet.
lling-llang	src/multitape/traits.rs	MultiTapeWfst	provider-resource	missing	Runtime-arity immutable multi-tape automaton resource with paged arcs and snapshot identity.	src/multitape/traits.rs#pub trait MultiTapeWfst	The const-generic native trait needs a runtime-arity ABI specialization before target languages can implement it safely.
