id	area	invariant	formalism	artifact	formal_symbol	proof_strength	implementation_owner	property_suite	property_name	implementation_state
E6-DS-COQ-IDENTITY-REFLEXIVE	query-identity	complete query identity is reflexive	rocq	proofs/coq/domain_integration/DictionarySurface.v	dictionary_identity_is_reflexive	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_query_identity_is_reflexive	required-red-before-production
E6-DS-COQ-IDENTITY-REFINES	query-identity	complete query identity exactly refines the generic fuzzy index	rocq	proofs/coq/domain_integration/DictionarySurface.v	dictionary_identity_exactly_refines_fuzzy_index	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_query_identity_exactly_refines_fuzzy_index	required-red-before-production
E6-DS-COQ-STALE	query-identity	a changed snapshot is rejected	rocq	proofs/coq/domain_integration/DictionarySurface.v	stale_snapshot_identity_is_rejected	constructive-counterexample	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_changed_snapshot_is_rejected	required-red-before-production
E6-DS-COQ-NORMALIZATION	query-identity	a changed normalization profile is rejected	rocq	proofs/coq/domain_integration/DictionarySurface.v	changed_normalization_identity_is_rejected	constructive-counterexample	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_changed_normalization_is_rejected	required-red-before-production
E6-DS-COQ-EDIT	query-identity	a changed edit profile is rejected	rocq	proofs/coq/domain_integration/DictionarySurface.v	changed_edit_profile_identity_is_rejected	constructive-counterexample	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_changed_edit_profile_is_rejected	required-red-before-production
E6-DS-COQ-BOUND	query-identity	a changed distance bound is rejected	rocq	proofs/coq/domain_integration/DictionarySurface.v	changed_bound_identity_is_rejected	constructive-counterexample	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_changed_bound_is_rejected	required-red-before-production
E6-DS-COQ-EXTERNAL-UNIQUE	identifier-map	one external key maps to at most one dense identifier	rocq	proofs/coq/domain_integration/DictionarySurface.v	external_key_has_at_most_one_dense_identifier	rocq-unbounded	libdictenstein	proofs/required_red/dictionary_surface/tests/identifier_mapping.rs	prop_external_key_has_at_most_one_dense_id	required-red-before-production
E6-DS-COQ-DENSE-UNIQUE	identifier-map	one dense identifier maps to at most one external key	rocq	proofs/coq/domain_integration/DictionarySurface.v	dense_identifier_has_at_most_one_external_key	rocq-unbounded	libdictenstein	proofs/required_red/dictionary_surface/tests/identifier_mapping.rs	prop_dense_id_has_at_most_one_external_key	required-red-before-production
E6-DS-COQ-ID-ROUNDTRIP	identifier-map	either mapping direction establishes exact two-sided correspondence	rocq	proofs/coq/domain_integration/DictionarySurface.v	either_direction_establishes_exact_correspondence	rocq-unbounded	libdictenstein	proofs/required_red/dictionary_surface/tests/identifier_mapping.rs	prop_dense_external_mapping_round_trips	required-red-before-production
E6-DS-COQ-JOIN-IDEMPOTENT	lattice-merge	dictionary join merge is idempotent	rocq	proofs/coq/domain_integration/DictionarySurface.v	lawful_join_merge_is_idempotent	rocq-unbounded	libdictenstein-llattice	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_dictionary_join_merge_is_idempotent	required-red-before-production
