id	area	invariant	formalism	artifact	formal_symbol	proof_strength	property_suite	property_name	implementation_state
E6-FIBER-1	fuzzy-index	the fiber index contains snapshot query configuration and budget	rocq	proofs/coq/domain_integration/FuzzyReference.v	Record fuzzy_index	definition	tests/fuzzy_reference_properties.rs	prop_index_identity_includes_every_semantic_field	required-red-before-production
E6-FIBER-2	fuzzy-index	reference membership means presence in the captured snapshot and independently computed cost within budget	rocq	proofs/coq/domain_integration/FuzzyReference.v	Definition reference_member	definition	tests/fuzzy_reference_properties.rs	prop_reference_is_snapshot_membership_intersected_with_budget	required-red-before-production
E6-FIBER-3	fuzzy-index	candidate membership is independent of reference membership and may overgenerate	rocq	proofs/coq/domain_integration/FuzzyReference.v	Variable candidate_member	definition	tests/fuzzy_reference_properties.rs	prop_candidate_feed_may_contain_false_positives	required-red-before-production
E6-FIBER-4	fuzzy-index	complete generation contains every reference member	rocq	proofs/coq/domain_integration/FuzzyReference.v	Definition generator_complete	definition	tests/fuzzy_reference_properties.rs	prop_complete_generator_covers_reference	required-red-before-production
E6-CONFIRM-1	confirmation	confirmation is sound only when every confirmed member belongs to the reference	rocq	proofs/coq/domain_integration/FuzzyReference.v	Definition confirmer_sound	definition	tests/fuzzy_reference_properties.rs	prop_confirmer_never_accepts_outside_reference	required-red-before-production
E6-CONFIRM-2	confirmation	confirmation is complete only when every reference member is confirmed	rocq	proofs/coq/domain_integration/FuzzyReference.v	Definition confirmer_complete	definition	tests/fuzzy_reference_properties.rs	prop_confirmer_accepts_every_reference_member	required-red-before-production
E6-INDEX-1	fuzzy-index	cross-boundary evidence requires equal snapshot query configuration and budget	rocq	proofs/coq/domain_integration/FuzzyReference.v	Definition same_index	definition	tests/fuzzy_reference_properties.rs	prop_cross_boundary_index_equality_is_structural	required-red-before-production
E6-ACCEPT-1	confirmation	accepted membership is candidate membership conjoined with independent confirmation	rocq	proofs/coq/domain_integration/FuzzyReference.v	Definition accepted_member	definition	tests/fuzzy_reference_properties.rs	prop_acceptance_requires_candidate_and_confirmation	required-red-before-production
E6-INDEX-2	fuzzy-index	equal indices preserve exact reference membership	rocq	proofs/coq/domain_integration/FuzzyReference.v	same_index_preserves_reference	rocq-unbounded	tests/fuzzy_reference_properties.rs	prop_equal_indices_have_equal_reference_sets	required-red-before-production
E6-ACCEPT-2	confirmation	accepted results are sound even when candidate generation overapproximates	rocq	proofs/coq/domain_integration/FuzzyReference.v	accepted_members_are_sound	rocq-unbounded	tests/fuzzy_reference_properties.rs	prop_accepted_results_are_reference_members	required-red-before-production
E6-EXACT-1	exactness	complete generation plus an exact independent confirmer equals exhaustive reference enumeration	rocq	proofs/coq/domain_integration/FuzzyReference.v	complete_confirmed_feed_equals_reference	rocq-unbounded	tests/fuzzy_reference_properties.rs	prop_complete_confirmed_feed_equals_independent_oracle	required-red-before-production
E6-CERT-1	exactness	exact publication packages flags index identity generation coverage and confirmer soundness and completeness	rocq	proofs/coq/domain_integration/FuzzyReference.v	Record exact_fuzzy_certificate	definition	tests/fuzzy_reference_properties.rs	prop_exact_certificate_requires_all_evidence	required-red-before-production
E6-CERT-2	exactness	a certified fuzzy result equals the exact reference denotation	rocq	proofs/coq/domain_integration/FuzzyReference.v	certified_fuzzy_result_equals_reference	rocq-unbounded	tests/fuzzy_reference_properties.rs	prop_certified_result_equals_oracle	required-red-before-production
E6-OUTCOME-1	outcomes	complete exact complete approximate and incomplete are distinct outcomes	rocq	proofs/coq/domain_integration/FuzzyReference.v	Inductive fuzzy_outcome	definition	tests/fuzzy_reference_properties.rs	prop_outcome_axes_are_not_conflated	required-red-before-production
E6-OUTCOME-2	outcomes	exact outcome requires exact precision and complete coverage	rocq	proofs/coq/domain_integration/FuzzyReference.v	exact_outcome_requires_both_exact_and_complete	rocq-unbounded	tests/fuzzy_reference_properties.rs	prop_exact_outcome_requires_exact_complete_axes	required-red-before-production
E6-OUTCOME-3	outcomes	incomplete coverage remains incomplete for every precision value	rocq	proofs/coq/domain_integration/FuzzyReference.v	incomplete_outcome_is_absorbing	rocq-unbounded	tests/fuzzy_reference_properties.rs	prop_incomplete_coverage_is_absorbing	required-red-before-production
E6-NEG-1	negative-control	stale snapshot confirmation can drop a valid captured-reference member	rocq	proofs/coq/domain_integration/FuzzyReference.v	stale_snapshot_can_drop_a_reference_member	constructive-counterexample	tests/fuzzy_reference_properties.rs	prop_stale_snapshot_is_rejected	required-red-before-production
E6-NEG-2	negative-control	changed edit configuration can drop a valid reference member	rocq	proofs/coq/domain_integration/FuzzyReference.v	changed_configuration_can_drop_a_reference_member	constructive-counterexample	tests/fuzzy_reference_properties.rs	prop_changed_edit_configuration_is_rejected	required-red-before-production
E6-NEG-3	negative-control	candidate membership cannot confirm itself	rocq	proofs/coq/domain_integration/FuzzyReference.v	candidate_membership_cannot_self_confirm	constructive-counterexample	tests/fuzzy_reference_properties.rs	prop_candidate_self_confirmation_is_rejected	required-red-before-production
E6-NEG-4	negative-control	incomplete generation can miss a reference member	rocq	proofs/coq/domain_integration/FuzzyReference.v	incomplete_generation_can_miss_a_reference_member	constructive-counterexample	tests/fuzzy_reference_properties.rs	prop_incomplete_feed_cannot_publish_exact	required-red-before-production
E6-WEIGHT-1	weighted-morphism	weighted denotation respects semiring equivalence	rocq	proofs/coq/domain_integration/TypedHclg.v	realizes_respects_weight	definition	tests/hclg_typed_properties.rs	prop_equivalent_weights_are_observationally_equal	required-red-before-production
E6-COMP-1	weighted-morphism	composition existentially matches one middle tape and multiplies weights in component order	rocq	proofs/coq/domain_integration/TypedHclg.v	Definition compose_weighted	definition	tests/hclg_typed_properties.rs	prop_composition_matches_middle_tape_and_multiplies_weights	required-red-before-production
E6-COMP-2	weighted-morphism	identity preserves tape values and contributes semiring one	rocq	proofs/coq/domain_integration/TypedHclg.v	Definition identity_weighted	definition	tests/hclg_typed_properties.rs	prop_identity_preserves_tapes_and_unit_weight	required-red-before-production
E6-EQUIV-1	weighted-morphism	denotational equivalence is reflexive	rocq	proofs/coq/domain_integration/TypedHclg.v	morphism_equivalent_reflexive	rocq-unbounded	tests/hclg_typed_properties.rs	prop_denotational_equivalence_is_reflexive	required-red-before-production
E6-EQUIV-2	weighted-morphism	denotational equivalence is transitive	rocq	proofs/coq/domain_integration/TypedHclg.v	morphism_equivalent_transitive	rocq-unbounded	tests/hclg_typed_properties.rs	prop_denotational_equivalence_is_transitive	required-red-before-production
E6-CATEGORY-1	weighted-morphism	weighted composition is associative at denotation level	rocq	proofs/coq/domain_integration/TypedHclg.v	compose_weighted_associative	rocq-unbounded	tests/hclg_typed_properties.rs	prop_weighted_composition_is_associative	required-red-before-production
E6-CATEGORY-2	weighted-morphism	weighted identity is a left identity	rocq	proofs/coq/domain_integration/TypedHclg.v	compose_weighted_left_identity	rocq-unbounded	tests/hclg_typed_properties.rs	prop_weighted_left_identity	required-red-before-production
E6-CATEGORY-3	weighted-morphism	weighted identity is a right identity	rocq	proofs/coq/domain_integration/TypedHclg.v	compose_weighted_right_identity	rocq-unbounded	tests/hclg_typed_properties.rs	prop_weighted_right_identity	required-red-before-production
E6-HOM-1	weight-domain	cross-domain weight mapping preserves additive zero	rocq	proofs/coq/domain_integration/TypedHclg.v	map_preserves_zero	definition	tests/hclg_typed_properties.rs	prop_weight_map_preserves_zero	required-red-before-production
E6-HOM-2	weight-domain	cross-domain weight mapping preserves multiplicative one	rocq	proofs/coq/domain_integration/TypedHclg.v	map_preserves_one	definition	tests/hclg_typed_properties.rs	prop_weight_map_preserves_one	required-red-before-production
E6-HOM-3	weight-domain	cross-domain weight mapping preserves alternative combination	rocq	proofs/coq/domain_integration/TypedHclg.v	map_preserves_plus	definition	tests/hclg_typed_properties.rs	prop_weight_map_preserves_plus	required-red-before-production
E6-HOM-4	weight-domain	cross-domain weight mapping preserves path concatenation	rocq	proofs/coq/domain_integration/TypedHclg.v	map_preserves_times	definition	tests/hclg_typed_properties.rs	prop_weight_map_preserves_times	required-red-before-production
E6-HCLG-1	hclg	H maps HMM-state sequences to context-dependent-phone sequences	rocq	proofs/coq/domain_integration/TypedHclg.v	Variable H : weighted_morphism HmmState ContextDependentPhone	definition	tests/hclg_typed_properties.rs	compile_fail_h_rejects_wrong_tape	required-red-before-production
E6-HCLG-2	hclg	C maps context-dependent-phone sequences to phone sequences	rocq	proofs/coq/domain_integration/TypedHclg.v	Variable C : weighted_morphism ContextDependentPhone Phone	definition	tests/hclg_typed_properties.rs	compile_fail_c_rejects_wrong_tape	required-red-before-production
E6-HCLG-3	hclg	L maps phone sequences to word sequences	rocq	proofs/coq/domain_integration/TypedHclg.v	Variable L : weighted_morphism Phone Word	definition	tests/hclg_typed_properties.rs	compile_fail_l_rejects_wrong_tape	required-red-before-production
E6-HCLG-4	hclg	G maps word sequences to word sequences	rocq	proofs/coq/domain_integration/TypedHclg.v	Variable G : weighted_morphism Word Word	definition	tests/hclg_typed_properties.rs	compile_fail_g_rejects_wrong_tape	required-red-before-production
E6-HCLG-5	hclg	left- and right-associated H/C/L/G cascades have equal denotations	rocq	proofs/coq/domain_integration/TypedHclg.v	hclg_parenthesizations_are_equivalent	rocq-unbounded	tests/hclg_typed_properties.rs	prop_all_hclg_parenthesizations_have_equal_denotation	required-red-before-production
E6-TLA-TYPE	lifecycle	all lifecycle values remain in their declared finite domains	tla	proofs/tla/FuzzyReferenceLifecycle.tla	TypeOK	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_lifecycle_values_remain_well_typed	required-red-before-production
E6-TLA-CAPTURE	lifecycle	the query-start snapshot identity never changes	tla	proofs/tla/FuzzyReferenceLifecycle.tla	CaptureIsStable	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_query_start_snapshot_is_stable	required-red-before-production
E6-TLA-MUTATION	lifecycle	live dictionary mutation cannot change the captured snapshot	tla	proofs/tla/FuzzyReferenceLifecycle.tla	LiveMutationDoesNotChangeCapture	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_mid_query_mutation_preserves_capture	required-red-before-production
E6-TLA-ACCOUNT	lifecycle	pending and checked candidates are a disjoint partition of the feed	tla	proofs/tla/FuzzyReferenceLifecycle.tla	CandidateAccounting	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_candidate_accounting_is_a_partition	required-red-before-production
E6-TLA-EXACTCHECK	lifecycle	accepted candidates equal checked candidates intersected with the reference	tla	proofs/tla/FuzzyReferenceLifecycle.tla	AcceptedExactlyCheckedReference	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_confirmation_order_preserves_exact_checked_set	required-red-before-production
E6-TLA-SOUND	lifecycle	accepted candidates are always reference members	tla	proofs/tla/FuzzyReferenceLifecycle.tla	AcceptedSubsetReference	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_every_acceptance_is_oracle_sound	required-red-before-production
E6-TLA-COMPLETE	lifecycle	complete coverage contains the full reference set	tla	proofs/tla/FuzzyReferenceLifecycle.tla	CompleteCoverageContainsReference	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_complete_coverage_contains_oracle	required-red-before-production
E6-TLA-INCOMPLETE	lifecycle	incomplete coverage omits at least one reference member	tla	proofs/tla/FuzzyReferenceLifecycle.tla	IncompleteCoverageMissesReference	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_incomplete_coverage_has_missing_witness	required-red-before-production
E6-TLA-EVIDENCE	lifecycle	exact outcomes require complete exact same-snapshot evidence	tla	proofs/tla/FuzzyReferenceLifecycle.tla	ExactOutcomeRequiresEvidence	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_exact_outcome_carries_all_evidence	required-red-before-production
E6-TLA-NOPROMOTE-I	lifecycle	incomplete coverage never publishes as exact	tla	proofs/tla/FuzzyReferenceLifecycle.tla	IncompleteNeverPublishesAsExact	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_incomplete_never_self_promotes	required-red-before-production
E6-TLA-NOPROMOTE-A	lifecycle	approximate precision never publishes as exact	tla	proofs/tla/FuzzyReferenceLifecycle.tla	ApproximateNeverPublishesAsExact	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_approximate_never_self_promotes	required-red-before-production
E6-TLA-EQUALITY	lifecycle	complete exact accepted output equals the reference set	tla	proofs/tla/FuzzyReferenceLifecycle.tla	CompleteExactEqualsReference	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_complete_exact_output_equals_oracle	required-red-before-production
E6-TLA-PUBLISH	lifecycle	published output always has an explicit classified outcome	tla	proofs/tla/FuzzyReferenceLifecycle.tla	PublishedHasClassifiedOutcome	tlc-bounded	tests/fuzzy_reference_properties.rs	prop_publication_has_explicit_outcome	required-red-before-production
E6-SMT-STALE	finite-boundary	stale snapshot blocks exact publication	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-STALE	decidable-unsat	tests/fuzzy_reference_properties.rs	prop_smt_stale_snapshot_boundary	required-red-before-production
E6-SMT-INCOMPLETE	finite-boundary	incomplete feed blocks exact publication	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-INCOMPLETE	decidable-unsat	tests/fuzzy_reference_properties.rs	prop_smt_incomplete_boundary	required-red-before-production
E6-SMT-CANDIDATE	finite-boundary	candidate-only false positives are satisfiable	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-CANDIDATE	decidable-countermodel	tests/fuzzy_reference_properties.rs	prop_smt_candidate_false_positive_witness	required-red-before-production
E6-SMT-CERTIFICATE	finite-boundary	exact certificate makes accepted and reference membership equivalent	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-CERTIFICATE	decidable-unsat	tests/fuzzy_reference_properties.rs	prop_smt_certificate_equivalence	required-red-before-production
E6-SMT-TAPES	finite-boundary	all three H/C/L/G middle tape equalities are mandatory	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-TAPES	decidable-unsat	tests/hclg_typed_properties.rs	prop_smt_all_middle_tapes_match	required-red-before-production
E6-SMT-TAGS	finite-boundary	equal numeric labels do not erase distinct tape tags	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-TAGS	decidable-countermodel	tests/hclg_typed_properties.rs	prop_smt_equal_encodings_keep_distinct_tape_types	required-red-before-production
E6-SMT-WEIGHTS	finite-boundary	associative reassociation preserves ordered H/C/L/G weight multiplication	smt	proofs/smt/vco-e6-domain-contracts.smt2	E6-SMT-WEIGHTS	decidable-unsat	tests/hclg_typed_properties.rs	prop_smt_reassociation_preserves_weight_order	required-red-before-production
